20A.EU1,20B.S.732A,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21C.Epsilon,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta
0.0,0.047619047619047616,0.0,0.7142857142857143,0.0,0.0,0.0,0.09523809523809523,0.07142857142857142,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7674418604651163,0.0,0.0,0.0,0.06976744186046512,0.06976744186046512,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7413793103448276,0.017241379310344827,0.0,0.0,0.05172413793103448,0.06896551724137931,0.0,0.0,0.0,0.05172413793103448
0.0,0.0,0.0,0.6857142857142857,0.04285714285714286,0.0,0.0,0.04285714285714286,0.07142857142857142,0.0,0.0,0.0,0.07142857142857142
0.0,0.0,0.0,0.6575342465753424,0.0684931506849315,0.0,0.0,0.0136986301369863,0.0958904109589041,0.0,0.0,0.0,0.0410958904109589
0.0,0.0,0.0,0.6338028169014085,0.08450704225352113,0.0,0.014084507042253521,0.0,0.15492957746478872,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.6065573770491803,0.09836065573770492,0.0,0.0,0.0,0.18032786885245902,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5769230769230769,0.11538461538461539,0.0,0.0,0.0,0.19230769230769232,0.0,0.019230769230769232,0.0,0.038461538461538464
0.0,0.0,0.0,0.5333333333333333,0.1111111111111111,0.0,0.0,0.0,0.15555555555555556,0.0,0.06666666666666667,0.0,0.06666666666666667
0.0,0.0,0.0,0.4583333333333333,0.1875,0.0,0.0,0.0,0.10416666666666667,0.0,0.14583333333333334,0.0,0.041666666666666664
0.0,0.0,0.0,0.3275862068965517,0.29310344827586204,0.0,0.0,0.0,0.08620689655172414,0.0,0.2413793103448276,0.0,0.0
0.0,0.0,0.0,0.18518518518518517,0.35185185185185186,0.0,0.0,0.0,0.09259259259259259,0.0,0.2962962962962963,0.0,0.018518518518518517
0.0,0.0,0.0,0.11764705882352941,0.4411764705882353,0.0,0.0,0.0,0.08823529411764706,0.0,0.2647058823529412,0.0,0.029411764705882353
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1
0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.25,0.08333333333333333,0.3333333333333333
0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.15384615384615385,0.46153846153846156
0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.12195121951219512,0.24390243902439024,0.5365853658536586
0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.04838709677419355,0.20967741935483872,0.6774193548387096
0.0,0.0,0.0,0.0,0.0,0.0,0.008130081300813009,0.0,0.0,0.0,0.016260162601626018,0.17886178861788618,0.7804878048780488
0.0,0.0,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.0,0.0,0.0091324200913242,0.182648401826484,0.7899543378995434
0.0,0.0,0.0,0.0,0.0,0.0,0.007722007722007722,0.0,0.0,0.0,0.011583011583011582,0.1969111969111969,0.7799227799227799
0.0,0.0,0.0,0.0,0.0,0.0,0.0045662100456621,0.0,0.0,0.0,0.0136986301369863,0.1963470319634703,0.7808219178082192
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.175,0.80625
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15454545454545454,0.8272727272727273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.8395061728395061
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11842105263157894,0.868421052631579
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.8974358974358975
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.921875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.9444444444444444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
