20A.EU1,20A.EU2,20A.S.210T,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,21A.Delta.S.K417,21A.Delta,21B.Kappa,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047619047619047616,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.04878048780487805,0.0,0.0,0.0,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0
0.0,0.021739130434782608,0.0,0.0,0.0,0.32608695652173914,0.0,0.0,0.0,0.0,0.021739130434782608,0.13043478260869565,0.0,0.0,0.0
0.0,0.022222222222222223,0.0,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.044444444444444446,0.24444444444444444,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.0,0.03125,0.1875,0.0,0.0,0.0
0.0,0.04,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
0.0,0.05,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
0.0,0.06666666666666667,0.0,0.0,0.016666666666666666,0.6833333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.5967741935483871,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.0,0.0,0.0
0.0,0.013513513513513514,0.0,0.0,0.04054054054054054,0.7297297297297297,0.0,0.0,0.0,0.0,0.0,0.13513513513513514,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.013793103448275862,0.903448275862069,0.0,0.0,0.0,0.0,0.0,0.020689655172413793,0.0,0.0,0.0
0.0,0.0040650406504065045,0.0,0.0,0.008130081300813009,0.9186991869918699,0.0,0.0,0.0,0.0,0.0,0.028455284552845527,0.0,0.0,0.0
0.0,0.003424657534246575,0.0,0.0,0.010273972602739725,0.9143835616438356,0.0,0.0,0.0,0.0,0.0,0.0410958904109589,0.0,0.0,0.0
0.0,0.003215434083601286,0.0,0.0,0.003215434083601286,0.9421221864951769,0.0,0.0,0.0,0.0,0.0,0.022508038585209004,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9693251533742331,0.0,0.0,0.0,0.0,0.0,0.009202453987730062,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9643916913946587,0.0,0.0,0.0,0.0,0.0,0.017804154302670624,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.003125,0.953125,0.0,0.0,0.0,0.0,0.0,0.028125,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.007662835249042145,0.9578544061302682,0.0,0.0,0.0,0.0,0.0,0.019157088122605363,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.009950248756218905,0.9751243781094527,0.0,0.0,0.0,0.0,0.0,0.004975124378109453,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005847953216374269,0.9883040935672515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9943820224719101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.98989898989899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9742765273311897,0.0,0.0,0.0,0.0,0.0,0.00964630225080386,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.9312714776632303,0.0,0.003436426116838488,0.0,0.0,0.003436426116838488,0.048109965635738834,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.008064516129032258,0.10080645161290322,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.8465909090909091,0.0,0.0,0.0,0.0,0.005681818181818182,0.13068181818181818,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.7580645161290323,0.0,0.008064516129032258,0.0,0.0,0.024193548387096774,0.18548387096774194,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.017543859649122806,0.0,0.0,0.08771929824561403,0.3684210526315789,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.265625,0.0,0.015625,0.0,0.0,0.140625,0.5546875,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.12857142857142856,0.0,0.014285714285714285,0.0,0.0,0.17857142857142858,0.6571428571428571,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0125,0.0,0.0,0.25,0.675,0.0,0.00625,0.0
0.0,0.0,0.0,0.0,0.0,0.016216216216216217,0.0,0.005405405405405406,0.0,0.0,0.2918918918918919,0.6810810810810811,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0045871559633027525,0.0,0.0,0.0,0.0,0.27522935779816515,0.7155963302752294,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22058823529411764,0.7720588235294118,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17701863354037267,0.8167701863354038,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.8279569892473119,0.0,0.0,0.002688172043010753
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17084282460136674,0.8246013667425968,0.0,0.0,0.002277904328018223
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16015625,0.837890625,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14671814671814673,0.8513513513513513,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002074688796680498,0.0,0.0,0.15145228215767634,0.8464730290456431,0.0,0.002074688796680498,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018248175182481751,0.0,0.0,0.17518248175182483,0.822992700729927,0.0,0.0018248175182481751,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001557632398753894,0.0,0.0,0.19626168224299065,0.8006230529595015,0.0,0.003115264797507788,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017064846416382253,0.0,0.0,0.2030716723549488,0.7935153583617748,0.0,0.0034129692832764505,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024630541871921183,0.0,0.0,0.19458128078817735,0.8004926108374384,0.0,0.0049261083743842365,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1951219512195122,0.8,0.0,0.004878048780487805,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
