20A.EU1,20A.EU2,20A.S.210T,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21C.Epsilon,21D.Eta,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.250I,Delta.299I
0.009652509652509652,0.0019305019305019305,0.015444015444015444,0.011583011583011582,0.12934362934362933,0.023166023166023165,0.009652509652509652,0.0,0.0019305019305019305,0.0,0.005791505791505791,0.0,0.003861003861003861,0.2471042471042471,0.0,0.013513513513513514,0.0
0.005479452054794521,0.0027397260273972603,0.01643835616438356,0.0136986301369863,0.1589041095890411,0.024657534246575342,0.01643835616438356,0.0,0.0,0.0,0.005479452054794521,0.0,0.0027397260273972603,0.2136986301369863,0.0,0.010958904109589041,0.0
0.0023923444976076554,0.0,0.014354066985645933,0.007177033492822967,0.15550239234449761,0.019138755980861243,0.011961722488038277,0.0,0.0,0.0,0.004784688995215311,0.0,0.0,0.04066985645933014,0.0,0.0,0.0
0.0,0.0,0.012962962962962963,0.003703703703703704,0.11851851851851852,0.014814814814814815,0.007407407407407408,0.0,0.0,0.0,0.001851851851851852,0.0,0.0,0.001851851851851852,0.0,0.0,0.0
0.0,0.0,0.012578616352201259,0.0,0.1069182389937107,0.018867924528301886,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0963855421686747,0.04819277108433735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.017241379310344827,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0078125,0.0,0.0,0.0,0.0078125,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.010526315789473684,0.0,0.010526315789473684,0.06315789473684211,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.012345679012345678,0.0,0.018518518518518517,0.11728395061728394,0.024691358024691357,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0
0.0,0.0,0.015463917525773196,0.005154639175257732,0.030927835051546393,0.17525773195876287,0.041237113402061855,0.0,0.061855670103092786,0.0,0.0,0.0,0.010309278350515464,0.07216494845360824,0.0,0.0,0.0
0.0,0.0,0.02127659574468085,0.0070921985815602835,0.03546099290780142,0.12411347517730496,0.03900709219858156,0.0,0.15602836879432624,0.0,0.0035460992907801418,0.0,0.028368794326241134,0.18439716312056736,0.0,0.0,0.0
0.0,0.0,0.018867924528301886,0.006289308176100629,0.027253668763102725,0.0440251572327044,0.027253668763102725,0.0,0.2557651991614256,0.0,0.006289308176100629,0.0,0.031446540880503145,0.24528301886792453,0.0,0.0041928721174004195,0.0
0.0,0.0,0.010416666666666666,0.00390625,0.01171875,0.01171875,0.016927083333333332,0.0,0.48828125,0.0,0.0026041666666666665,0.0,0.028645833333333332,0.2265625,0.0,0.005208333333333333,0.0
0.0,0.0,0.0037285607755406414,0.0014914243102162564,0.0022371364653243847,0.0022371364653243847,0.005965697240865026,0.0,0.7307979120059657,0.0,0.0,0.0,0.017897091722595078,0.13049962714392244,0.0,0.002982848620432513,0.0
0.0,0.0,0.003444316877152698,0.0,0.000574052812858783,0.001148105625717566,0.002296211251435132,0.0,0.7692307692307693,0.0,0.0,0.0,0.00975889781859931,0.06601607347876004,0.0,0.001722158438576349,0.0
0.0,0.0,0.004936530324400564,0.0,0.0014104372355430183,0.004231311706629055,0.0028208744710860366,0.0,0.5881523272214386,0.0,0.0,0.0,0.010578279266572637,0.11001410437235543,0.0,0.003526093088857546,0.0
0.0,0.0,0.0029585798816568047,0.000591715976331361,0.0053254437869822485,0.031360946745562134,0.004733727810650888,0.0,0.2668639053254438,0.0,0.001183431952662722,0.0,0.023076923076923078,0.32781065088757394,0.001183431952662722,0.010059171597633136,0.0
0.0,0.0,0.001208313194780087,0.0004833252779120348,0.0038666022232962784,0.059207346544224264,0.0033832769453842437,0.0,0.20492991783470277,0.0,0.0009666505558240696,0.0,0.01933301111648139,0.34823586273562107,0.002416626389560174,0.007733204446592557,0.0
0.0,0.0,0.0006140243153628884,0.00024560972614515533,0.0014736583568709322,0.0572270661918212,0.001842072946088665,0.0,0.29448606164804125,0.0,0.00024560972614515533,0.0,0.010806827950386835,0.32923983789758077,0.0020876826722338203,0.0041753653444676405,0.0
0.0,0.0,0.0002512562814070352,0.0,0.00033500837520938025,0.03249581239530988,0.0005862646566164154,0.0,0.4446398659966499,0.0,0.0,0.0,0.004438860971524288,0.31155778894472363,0.0008375209380234506,0.0019262981574539363,0.0
0.0,0.0,0.0,0.0,0.0,0.012297097884899164,0.00016396130513198886,0.0,0.5315625512379079,0.0,0.0,0.0,0.001721593703885883,0.27684866371536315,0.00016396130513198886,0.0010657484833579275,0.0
0.0,0.0,0.0,0.0,0.0,0.004064428721962969,0.0,0.0,0.5270209242811983,0.0,0.0,0.0,0.0018064127653168748,0.2927894023784435,0.0,0.002107481559536354,0.0
0.0,0.0,0.0,0.0,0.0,0.0008470986869970351,0.0,0.0,0.3210504023718763,0.0,0.0,0.0,0.0063532401524777635,0.563744176196527,0.0,0.00847098686997035,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05058905058905059,0.0,0.0,0.0,0.013167013167013167,0.9216909216909217,0.0,0.013167013167013167,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010073260073260074,0.0,0.0,0.0,0.014652014652014652,0.9743589743589743,0.0,0.011904761904761904,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008241758241758242,0.0,0.0,0.0,0.0173992673992674,0.9734432234432234,0.0009157509157509158,0.013736263736263736,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00749375520399667,0.0,0.0,0.0,0.018318068276436304,0.9733555370524563,0.0016652789342214821,0.01582014987510408,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.017123287671232876,0.9748858447488584,0.001141552511415525,0.014840182648401826,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.015463917525773196,0.979381443298969,0.0,0.010309278350515464,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.9825,0.0,0.01,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014792899408284023,0.9822485207100592,0.0029585798816568047,0.011834319526627219,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
