20H.Beta.V2,20I.Alpha.V1,21A.Delta,21D.Eta,21I.Delta,21J.Delta,DanishCluster,Delta.250I
0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0
0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9259259259259259,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9259259259259259,0.0,0.0,0.0,0.037037037037037035,0.0,0.0
0.0,0.875,0.0,0.0,0.05,0.025,0.0,0.0
0.0,0.8545454545454545,0.0,0.0,0.05454545454545454,0.01818181818181818,0.0,0.0
0.0,0.8275862068965517,0.0,0.0,0.06896551724137931,0.017241379310344827,0.0,0.0
0.0,0.723404255319149,0.0,0.0,0.1276595744680851,0.06382978723404255,0.0,0.0
0.0,0.5909090909090909,0.0,0.0,0.20454545454545456,0.13636363636363635,0.0,0.0
0.0,0.5227272727272727,0.022727272727272728,0.0,0.22727272727272727,0.18181818181818182,0.0,0.0
0.0,0.37209302325581395,0.0,0.0,0.3023255813953488,0.27906976744186046,0.0,0.0
0.0,0.1836734693877551,0.0,0.0,0.4489795918367347,0.32653061224489793,0.0,0.0
0.0,0.07142857142857142,0.0,0.0,0.6071428571428571,0.30357142857142855,0.0,0.0
0.0,0.03636363636363636,0.0,0.0,0.6545454545454545,0.3090909090909091,0.0,0.0
0.0,0.017241379310344827,0.0,0.0,0.6379310344827587,0.3275862068965517,0.0,0.0
0.0,0.024096385542168676,0.012048192771084338,0.0,0.5662650602409639,0.3855421686746988,0.0,0.0
0.0,0.017857142857142856,0.026785714285714284,0.0,0.5089285714285714,0.4375,0.0,0.0
0.0,0.010101010101010102,0.04040404040404041,0.0,0.4444444444444444,0.48484848484848486,0.0,0.0
0.0,0.015384615384615385,0.03076923076923077,0.0,0.38461538461538464,0.5384615384615384,0.0,0.0
0.0,0.0,0.0,0.0,0.4,0.56,0.0,0.0
0.0,0.0,0.01818181818181818,0.0,0.4909090909090909,0.45454545454545453,0.0,0.0
0.0,0.0,0.015625,0.0,0.578125,0.359375,0.0,0.0
0.0,0.0,0.018518518518518517,0.0,0.5740740740740741,0.37037037037037035,0.0,0.0
0.0,0.0,0.0,0.0,0.5348837209302325,0.4186046511627907,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
