20A.EU1,20A.EU2,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,21A.Delta.S.K417,21A.Delta,21B.Kappa,21D.Eta,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0967741935483871,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0967741935483871,0.5161290322580645,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
0.0,0.0,0.0,0.1282051282051282,0.5897435897435898,0.0,0.0,0.0,0.05128205128205128,0.0,0.0,0.0
0.0,0.0,0.0,0.16981132075471697,0.5471698113207547,0.0,0.0,0.0,0.07547169811320754,0.0,0.0,0.0
0.0,0.0,0.0,0.16,0.56,0.0,0.0,0.0,0.09333333333333334,0.0,0.0,0.0
0.0,0.0,0.0,0.1650485436893204,0.6116504854368932,0.0,0.0,0.0,0.07766990291262135,0.0,0.0,0.0
0.0,0.0,0.0,0.1623931623931624,0.6752136752136753,0.0,0.0,0.0,0.042735042735042736,0.0,0.0,0.0
0.0,0.0,0.0,0.17647058823529413,0.7058823529411765,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0
0.0,0.0,0.0,0.1875,0.7,0.0,0.0125,0.0,0.0125,0.0,0.0,0.0
0.0,0.0,0.0,0.17391304347826086,0.6956521739130435,0.0,0.043478260869565216,0.0,0.014492753623188406,0.0,0.0,0.014492753623188406
0.0,0.0,0.0,0.15625,0.703125,0.0,0.046875,0.0,0.015625,0.0,0.0,0.015625
0.0,0.0,0.0,0.1875,0.625,0.0,0.046875,0.015625,0.015625,0.015625,0.015625,0.015625
0.0,0.0,0.0,0.2028985507246377,0.5217391304347826,0.0,0.043478260869565216,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.014492753623188406
0.0,0.0,0.0,0.1791044776119403,0.5522388059701493,0.0,0.07462686567164178,0.014925373134328358,0.014925373134328358,0.029850746268656716,0.029850746268656716,0.014925373134328358
0.0,0.0,0.0,0.1323529411764706,0.5735294117647058,0.0,0.19117647058823528,0.0,0.0,0.014705882352941176,0.029411764705882353,0.0
0.0,0.0,0.0,0.075,0.525,0.0,0.325,0.0,0.0,0.0,0.0375,0.0
0.0,0.0,0.0,0.04819277108433735,0.4819277108433735,0.0,0.39759036144578314,0.0,0.0,0.0,0.03614457831325301,0.0
0.0,0.0,0.0,0.041666666666666664,0.4305555555555556,0.0,0.4305555555555556,0.0,0.0,0.0,0.06944444444444445,0.013888888888888888
0.0,0.0,0.0,0.03225806451612903,0.3709677419354839,0.0,0.3870967741935484,0.0,0.0,0.016129032258064516,0.16129032258064516,0.016129032258064516
0.0,0.0,0.0,0.015151515151515152,0.25757575757575757,0.0,0.3484848484848485,0.0,0.0,0.030303030303030304,0.3181818181818182,0.0
0.0,0.0,0.0,0.011904761904761904,0.11904761904761904,0.0,0.3333333333333333,0.0,0.0,0.03571428571428571,0.4642857142857143,0.0
0.0,0.0,0.0,0.009259259259259259,0.05555555555555555,0.0,0.32407407407407407,0.0,0.0,0.027777777777777776,0.5648148148148148,0.0
0.0,0.0,0.0,0.0,0.03278688524590164,0.00819672131147541,0.3442622950819672,0.0,0.0,0.02459016393442623,0.5737704918032787,0.0
0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.3898305084745763,0.0,0.0,0.01694915254237288,0.559322033898305,0.0
0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.4017094017094017,0.0,0.0,0.02564102564102564,0.5470085470085471,0.0
0.0,0.0,0.0,0.0,0.016,0.0,0.416,0.0,0.0,0.032,0.528,0.0
0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.4608695652173913,0.0,0.0,0.034782608695652174,0.48695652173913045,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4953271028037383,0.0,0.0,0.04672897196261682,0.4485981308411215,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.49056603773584906,0.0,0.0,0.05660377358490566,0.4339622641509434,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4803921568627451,0.0,0.0,0.06862745098039216,0.43137254901960786,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4842105263157895,0.0,0.0,0.08421052631578947,0.42105263157894735,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.46153846153846156,0.0,0.0,0.07692307692307693,0.44871794871794873,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3870967741935484,0.0,0.0,0.04838709677419355,0.5483870967741935,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.32608695652173914,0.0,0.0,0.021739130434782608,0.6086956521739131,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.23809523809523808,0.0,0.0,0.0,0.7142857142857143,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.7272727272727273,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
