20A.EU1,20A.EU2,20H.Beta.V2,20I.Alpha.V1,21A.Delta,21D.Eta,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045454545454545456,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05555555555555555,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42857142857142855,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2916666666666667,0.0,0.0,0.1527777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23353293413173654,0.0,0.0,0.2215568862275449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20642201834862386,0.0045871559633027525,0.0,0.2706422018348624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15384615384615385,0.0,0.0,0.4230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07142857142857142,0.0,0.004201680672268907,0.6722689075630253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.048223350253807105,0.0,0.005076142131979695,0.7461928934010152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03048780487804878,0.0,0.008130081300813009,0.7886178861788617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017509727626459144,0.0,0.013618677042801557,0.8385214007782101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008869179600886918,0.0,0.015521064301552107,0.88470066518847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003278688524590164,0.0,0.013114754098360656,0.9245901639344263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.00980392156862745,0.9607843137254902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0056179775280898875,0.9775280898876404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9763313609467456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9791666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9807692307692307,0.0,0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.8947368421052632,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.46875,0.0,0.0,0.0,0.53125,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.12244897959183673,0.0,0.0,0.0,0.8775510204081632,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.037383177570093455,0.0,0.0,0.0,0.9345794392523364,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.020134228187919462,0.0,0.0,0.013422818791946308,0.959731543624161,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.011428571428571429,0.0,0.0,0.02857142857142857,0.9542857142857143,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005555555555555556,0.0,0.05555555555555555,0.9333333333333333,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.07142857142857142,0.9120879120879121,0.0,0.0,0.005494505494505495,0.0
0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.07103825136612021,0.9180327868852459,0.0,0.0,0.01639344262295082,0.00546448087431694
0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.06593406593406594,0.9285714285714286,0.0,0.0,0.027472527472527472,0.01098901098901099
0.0,0.0,0.0,0.0,0.0,0.0,0.06593406593406594,0.9285714285714286,0.0,0.0,0.027472527472527472,0.01098901098901099
0.0,0.0,0.0,0.0,0.0,0.0,0.06741573033707865,0.9269662921348315,0.0,0.0,0.028089887640449437,0.011235955056179775
0.0,0.0,0.0,0.0,0.0,0.0,0.08092485549132948,0.9190751445086706,0.0,0.0,0.023121387283236993,0.005780346820809248
0.0,0.0,0.0,0.0,0.0,0.0,0.08982035928143713,0.9041916167664671,0.0,0.005988023952095809,0.011976047904191617,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.08029197080291971,0.9124087591240876,0.0,0.0,0.0072992700729927005,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
