20A.EU1,20A.EU2,20A.S.126A,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21D.Eta,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0022371364653243847,0.0,0.5212527964205816,0.3713646532438479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.002380952380952381,0.0,0.5357142857142857,0.36666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0033333333333333335,0.0,0.5233333333333333,0.36666666666666664,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4827586206896552,0.3793103448275862,0.0,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4648648648648649,0.40540540540540543,0.0,0.0,0.005405405405405406,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.47692307692307695,0.4256410256410256,0.0,0.0,0.015384615384615385,0.0,0.0,0.0,0.005128205128205128
0.0,0.0,0.0,0.0,0.0,0.4864864864864865,0.43783783783783786,0.0,0.0,0.021621621621621623,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4968944099378882,0.4472049689440994,0.0,0.0,0.012422360248447204,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5030674846625767,0.44785276073619634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5023696682464455,0.44075829383886256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.49808429118773945,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.43309859154929575,0.0,0.0,0.0035211267605633804,0.0,0.0035211267605633804,0.0035211267605633804,0.0
0.0,0.0,0.0,0.0,0.0,0.49411764705882355,0.4117647058823529,0.0,0.0058823529411764705,0.0058823529411764705,0.0,0.020588235294117647,0.014705882352941176,0.0
0.0,0.0,0.0,0.0,0.0,0.46731234866828086,0.37772397094430993,0.0,0.014527845036319613,0.01937046004842615,0.0,0.048426150121065374,0.03389830508474576,0.0
0.0,0.0,0.0,0.0,0.0,0.40979955456570155,0.31625835189309576,0.0,0.0200445434298441,0.0378619153674833,0.0,0.10690423162583519,0.062360801781737196,0.0022271714922048997
0.0,0.0,0.0,0.0,0.0,0.3313253012048193,0.26506024096385544,0.0,0.028112449799196786,0.04618473895582329,0.0,0.1746987951807229,0.10240963855421686,0.002008032128514056
0.0,0.0,0.0,0.0,0.0,0.25678119349005424,0.22965641952983726,0.0,0.0433996383363472,0.05605786618444846,0.0,0.23688969258589512,0.14466546112115733,0.0018083182640144665
0.0,0.0,0.0,0.0,0.0,0.17851239669421487,0.1768595041322314,0.0,0.05950413223140496,0.07933884297520662,0.0,0.3256198347107438,0.17520661157024794,0.001652892561983471
0.0,0.0,0.0,0.0,0.0,0.11314984709480122,0.12385321100917432,0.0,0.0672782874617737,0.09938837920489296,0.0,0.42507645259938837,0.18501529051987767,0.0015290519877675841
0.0,0.0,0.0,0.0,0.0,0.07413249211356467,0.0804416403785489,0.0,0.0694006309148265,0.0946372239747634,0.0,0.5189274447949527,0.19400630914826497,0.0015772870662460567
0.0,0.0,0.0,0.0,0.0,0.049557522123893805,0.049557522123893805,0.0,0.061946902654867256,0.08141592920353982,0.0,0.5876106194690266,0.2088495575221239,0.0
0.0,0.0,0.0,0.0,0.0,0.03547671840354767,0.031042128603104215,0.0,0.04878048780487805,0.06873614190687362,0.0,0.6341463414634146,0.21729490022172948,0.0
0.0,0.0,0.0,0.0,0.0,0.022556390977443608,0.018796992481203006,0.0,0.041353383458646614,0.06015037593984962,0.0,0.6654135338345865,0.22180451127819548,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
