20A.EU1,20A.EU2,20A.S.126A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21D.Eta,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.009036144578313253,0.0,0.0,0.0,0.015060240963855422,0.9036144578313253,0.04216867469879518,0.0,0.0,0.0030120481927710845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00859106529209622,0.0,0.0,0.001718213058419244,0.013745704467353952,0.9106529209621993,0.041237113402061855,0.0,0.0,0.003436426116838488,0.001718213058419244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006355932203389831,0.0,0.0,0.00211864406779661,0.01694915254237288,0.8983050847457628,0.0423728813559322,0.0,0.0,0.00423728813559322,0.00211864406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004166666666666667,0.0,0.0,0.0,0.025,0.8625,0.05,0.0,0.004166666666666667,0.004166666666666667,0.004166666666666667,0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.0,0.0
0.003861003861003861,0.0,0.0,0.0,0.023166023166023165,0.8494208494208494,0.03474903474903475,0.003861003861003861,0.011583011583011582,0.0,0.007722007722007722,0.0,0.0,0.0,0.0,0.019305019305019305,0.0,0.0,0.0,0.0
0.002531645569620253,0.0,0.007594936708860759,0.0,0.020253164556962026,0.8430379746835444,0.02531645569620253,0.010126582278481013,0.015189873417721518,0.0,0.007594936708860759,0.0,0.0,0.0,0.002531645569620253,0.03291139240506329,0.0,0.0,0.0,0.0
0.0,0.0,0.015384615384615385,0.0,0.018461538461538463,0.7876923076923077,0.024615384615384615,0.018461538461538463,0.021538461538461538,0.0,0.006153846153846154,0.0,0.0,0.0,0.006153846153846154,0.07076923076923076,0.0,0.0,0.0,0.0
0.0,0.0,0.016483516483516484,0.0,0.016483516483516484,0.6153846153846154,0.027472527472527472,0.027472527472527472,0.03296703296703297,0.0,0.0,0.0,0.0,0.0,0.01098901098901099,0.22527472527472528,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.004405286343612335,0.43171806167400884,0.030837004405286344,0.022026431718061675,0.030837004405286344,0.0,0.0,0.0,0.0,0.004405286343612335,0.01762114537444934,0.44493392070484583,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4060324825986079,0.02320185614849188,0.02088167053364269,0.025522041763341066,0.0,0.002320185614849188,0.0,0.0,0.009280742459396751,0.016241299303944315,0.4988399071925754,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3471223021582734,0.01618705035971223,0.017985611510791366,0.023381294964028777,0.0,0.0017985611510791368,0.0,0.0,0.008992805755395683,0.014388489208633094,0.5755395683453237,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0017301038062283738,0.23356401384083045,0.010380622837370242,0.012110726643598616,0.015570934256055362,0.0,0.0017301038062283738,0.0,0.0,0.006920415224913495,0.015570934256055362,0.7041522491349481,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0016420361247947454,0.1330049261083744,0.006568144499178982,0.0049261083743842365,0.009852216748768473,0.0,0.0,0.0,0.0,0.0049261083743842365,0.016420361247947456,0.8210180623973727,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08006535947712418,0.0032679738562091504,0.0016339869281045752,0.008169934640522876,0.0,0.0,0.0,0.0,0.0016339869281045752,0.016339869281045753,0.8823529411764706,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.04186795491143317,0.001610305958132045,0.001610305958132045,0.00644122383252818,0.0,0.0,0.0,0.0,0.0,0.01610305958132045,0.9259259259259259,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.019261637239165328,0.0016051364365971107,0.0032102728731942215,0.004815409309791332,0.0,0.0,0.0,0.0,0.0,0.02086677367576244,0.9486356340288925,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.009025270758122744,0.0018050541516245488,0.0018050541516245488,0.005415162454873646,0.0,0.0,0.0,0.0,0.0,0.02527075812274368,0.9512635379061372,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.00202020202020202,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.9515151515151515,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0020408163265306124,0.004081632653061225,0.0,0.0,0.0,0.0,0.0,0.030612244897959183,0.9551020408163265,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002004008016032064,0.004008016032064128,0.0,0.0,0.0,0.0,0.0,0.03006012024048096,0.9599198396793587,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003913894324853229,0.0,0.0,0.0,0.0,0.0,0.033268101761252444,0.958904109589041,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037593984962406013,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.956766917293233,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0018181818181818182,0.0,0.0018181818181818182,0.0,0.0,0.0,0.0,0.0,0.034545454545454546,0.9581818181818181,0.0018181818181818182,0.0018181818181818182,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0036363636363636364,0.0,0.0018181818181818182,0.0,0.0,0.0,0.0,0.0,0.025454545454545455,0.9672727272727273,0.005454545454545455,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.003676470588235294,0.0,0.001838235294117647,0.0,0.0,0.0,0.0,0.0,0.016544117647058824,0.9761029411764706,0.007352941176470588,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0018867924528301887,0.0,0.0018867924528301887,0.0,0.0,0.0,0.0,0.0,0.013207547169811321,0.9811320754716981,0.007547169811320755,0.0018867924528301887,0.0018867924528301887,0.0018867924528301887
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.984,0.01,0.002,0.004,0.004
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.9765957446808511,0.01276595744680851,0.002127659574468085,0.006382978723404255,0.00425531914893617
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03463203463203463,0.9632034632034632,0.010822510822510822,0.006493506493506494,0.006493506493506494,0.004329004329004329
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037578288100208766,0.9603340292275574,0.008350730688935281,0.012526096033402923,0.0020876826722338203,0.0020876826722338203
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03248259860788863,0.9651972157772621,0.009280742459396751,0.018561484918793503,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
