20A.EU1,20B.S.732A,20I.Alpha.V1,20J.Gamma.V3,21A.Delta,21C.Epsilon,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0625,0.125,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
0.0,0.0,0.037037037037037035,0.07407407407407407,0.0,0.0,0.0,0.0,0.14814814814814814,0.0,0.0,0.0
0.0,0.0,0.02631578947368421,0.10526315789473684,0.0,0.0,0.0,0.0,0.18421052631578946,0.0,0.0,0.0
0.0,0.0,0.023809523809523808,0.16666666666666666,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0
0.0,0.0,0.06666666666666667,0.17777777777777778,0.0,0.0,0.0,0.0,0.24444444444444444,0.0,0.0,0.0
0.0,0.0,0.10256410256410256,0.20512820512820512,0.0,0.0,0.0,0.01282051282051282,0.32051282051282054,0.0,0.0,0.0
0.0,0.0,0.09392265193370165,0.2430939226519337,0.0,0.0,0.0,0.016574585635359115,0.34806629834254144,0.0,0.0,0.0
0.0,0.0,0.09333333333333334,0.27666666666666667,0.0,0.0,0.0,0.02,0.3466666666666667,0.0,0.0,0.0
0.0,0.0,0.0915032679738562,0.3006535947712418,0.0,0.0,0.0,0.026143790849673203,0.3562091503267974,0.0,0.0,0.0
0.0,0.0,0.07053941908713693,0.3070539419087137,0.0,0.0,0.0,0.029045643153526972,0.3941908713692946,0.0,0.0,0.0
0.0,0.0,0.04040404040404041,0.29797979797979796,0.0,0.0,0.0,0.030303030303030304,0.4393939393939394,0.0,0.0,0.0
0.0,0.0,0.028735632183908046,0.28735632183908044,0.0,0.0,0.005747126436781609,0.028735632183908046,0.47701149425287354,0.0,0.0,0.0
0.0,0.0,0.02040816326530612,0.2789115646258503,0.0,0.0,0.0,0.027210884353741496,0.4965986394557823,0.0,0.0,0.0
0.0,0.0,0.009174311926605505,0.27522935779816515,0.0,0.0,0.0,0.01834862385321101,0.5321100917431193,0.0,0.0,0.0
0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.011764705882352941,0.611764705882353,0.0,0.0,0.0
0.0,0.0,0.0,0.15789473684210525,0.0,0.0,0.0,0.021052631578947368,0.7052631578947368,0.0,0.0,0.0
0.0,0.0,0.0,0.12727272727272726,0.0,0.0,0.0,0.01818181818181818,0.7454545454545455,0.0,0.0,0.0
0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.009615384615384616,0.7692307692307693,0.0,0.0,0.0
0.0,0.0,0.0,0.11403508771929824,0.0,0.0,0.0,0.017543859649122806,0.8157894736842105,0.0,0.0,0.0
0.0,0.0,0.0,0.08227848101265822,0.0,0.0,0.0,0.0189873417721519,0.8291139240506329,0.0,0.012658227848101266,0.0
0.0,0.0,0.0,0.06329113924050633,0.0,0.0,0.0,0.016877637130801686,0.810126582278481,0.0,0.0379746835443038,0.0
0.0,0.0,0.0,0.0621301775147929,0.0,0.0,0.0,0.014792899408284023,0.7928994082840237,0.0029585798816568047,0.05029585798816568,0.0
0.0,0.0,0.0,0.058355437665782495,0.002652519893899204,0.0,0.0,0.013262599469496022,0.7877984084880637,0.005305039787798408,0.05570291777188329,0.0
0.0,0.0,0.0,0.05234159779614325,0.005509641873278237,0.0,0.0,0.011019283746556474,0.7713498622589532,0.008264462809917356,0.07713498622589532,0.0
0.0,0.0,0.0,0.04597701149425287,0.008620689655172414,0.0,0.0,0.011494252873563218,0.7241379310344828,0.011494252873563218,0.12643678160919541,0.0
0.0,0.0,0.0,0.035398230088495575,0.017699115044247787,0.0,0.0,0.011799410029498525,0.6578171091445427,0.011799410029498525,0.20353982300884957,0.0
0.0,0.0,0.0,0.024096385542168676,0.02710843373493976,0.0,0.0,0.006024096385542169,0.5933734939759037,0.015060240963855422,0.27710843373493976,0.0
0.0,0.0,0.0,0.018315018315018316,0.02564102564102564,0.0,0.0,0.003663003663003663,0.5347985347985348,0.02197802197802198,0.3333333333333333,0.0
0.0,0.0,0.0,0.011235955056179775,0.033707865168539325,0.0,0.0,0.0056179775280898875,0.4606741573033708,0.02247191011235955,0.39325842696629215,0.0
0.0,0.0,0.0,0.00847457627118644,0.0423728813559322,0.0,0.0,0.0,0.3474576271186441,0.01694915254237288,0.4745762711864407,0.0
0.0,0.0,0.0,0.010101010101010102,0.04040404040404041,0.0,0.0,0.0,0.26262626262626265,0.030303030303030304,0.5555555555555556,0.0
0.0,0.0,0.0,0.0,0.03529411764705882,0.0,0.0,0.0,0.21176470588235294,0.047058823529411764,0.6352941176470588,0.0
0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.18333333333333332,0.03333333333333333,0.6833333333333333,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142857142857143,0.02857142857142857,0.7142857142857143,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
