20A.EU1,20A.EU2,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21F.Iota,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.009345794392523364,0.0,0.0,0.0,0.8878504672897196,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.896551724137931,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.90625,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9178082191780822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9104477611940298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8985507246376812,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.013157894736842105,0.881578947368421,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.013888888888888888,0.8888888888888888,0.013888888888888888,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8840579710144928,0.028985507246376812,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8428571428571429,0.02857142857142857,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8125,0.03125,0.0,0.09375,0.0,0.0,0.0,0.0,0.046875,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7818181818181819,0.01818181818181818,0.0,0.07272727272727272,0.0,0.0,0.0,0.0,0.07272727272727272,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7272727272727273,0.022727272727272728,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.1590909090909091,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.5757575757575758,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.30303030303030304,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3793103448275862,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.4482758620689655,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.6,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.7142857142857143,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.12857142857142856,0.7285714285714285,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.04716981132075472,0.0,0.0,0.009433962264150943,0.0,0.0,0.0,0.1509433962264151,0.7641509433962265,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.022556390977443608,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.15037593984962405,0.8045112781954887,0.0,0.0,0.007518796992481203,0.0
0.0,0.0,0.0,0.0,0.006896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.14482758620689656,0.8275862068965517,0.0,0.0,0.006896551724137931,0.0
0.0,0.0,0.0,0.0,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.12941176470588237,0.8529411764705882,0.0,0.0058823529411764705,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345679012345678,0.8724279835390947,0.0,0.012345679012345678,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10227272727272728,0.8920454545454546,0.0,0.017045454545454544,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07079646017699115,0.9247787610619469,0.0,0.024336283185840708,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04838709677419355,0.9475806451612904,0.0020161290322580645,0.03024193548387097,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03505154639175258,0.9608247422680413,0.0,0.0288659793814433,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02654867256637168,0.9712389380530974,0.0,0.022123893805309734,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023017902813299233,0.9744245524296675,0.0,0.020460358056265986,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.975,0.0,0.017857142857142856,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.9743589743589743,0.0,0.01282051282051282,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
