20A.EU2,20A.S.210T,20H.Beta.V2,20I.Alpha.V1,21A.Delta,21C.Epsilon,21I.Delta,21J.Delta
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9117647058823529,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.8571428571428571,0.05714285714285714,0.0,0.0,0.0
0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0
0.0,0.0,0.0,0.75,0.19444444444444445,0.0,0.0,0.0
0.0,0.0,0.0,0.725,0.25,0.0,0.0,0.0
0.0,0.0,0.0,0.7111111111111111,0.28888888888888886,0.0,0.0,0.0
0.0,0.0,0.0,0.6444444444444445,0.3111111111111111,0.0,0.0,0.022222222222222223
0.0,0.0,0.0,0.5869565217391305,0.34782608695652173,0.0,0.0,0.021739130434782608
0.0,0.0,0.0,0.5769230769230769,0.34615384615384615,0.0,0.0,0.057692307692307696
0.0,0.0,0.0,0.5178571428571429,0.30357142857142855,0.0,0.05357142857142857,0.08928571428571429
0.0,0.0,0.0,0.5,0.25,0.0,0.09615384615384616,0.11538461538461539
0.0,0.0,0.0,0.5833333333333334,0.20833333333333334,0.0,0.0625,0.10416666666666667
0.0,0.0,0.0,0.64,0.22,0.0,0.0,0.08
0.0,0.02040816326530612,0.0,0.6326530612244898,0.2653061224489796,0.0,0.0,0.08163265306122448
0.0,0.04081632653061224,0.0,0.5918367346938775,0.2653061224489796,0.0,0.0,0.12244897959183673
0.0,0.019230769230769232,0.0,0.5769230769230769,0.23076923076923078,0.0,0.0,0.17307692307692307
0.0,0.0,0.0,0.559322033898305,0.22033898305084745,0.0,0.0,0.2033898305084746
0.0,0.0,0.0,0.5161290322580645,0.2903225806451613,0.0,0.0,0.1774193548387097
0.0,0.0,0.0,0.43103448275862066,0.41379310344827586,0.0,0.0,0.13793103448275862
0.0,0.0,0.0,0.3333333333333333,0.5185185185185185,0.0,0.0,0.12962962962962962
0.0,0.0,0.0,0.23333333333333334,0.5833333333333334,0.0,0.0,0.15
0.0,0.0,0.0,0.16176470588235295,0.6323529411764706,0.0,0.0,0.20588235294117646
0.0,0.0,0.0,0.09523809523809523,0.6507936507936508,0.0,0.0,0.23809523809523808
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
