20A.EU1,20A.EU2,20A.S.126A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,21A.Delta.S.K417,21A.Delta,21B.Kappa,21D.Eta,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.17647058823529413,0.0,0.11764705882352941,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0
0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0
0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.6666666666666666,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.8,0.0
0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0784313725490196,0.0,0.0,0.0,0.8431372549019608,0.0
0.0,0.0,0.0,0.034482758620689655,0.0,0.008620689655172414,0.0,0.0603448275862069,0.0,0.008620689655172414,0.008620689655172414,0.8448275862068966,0.0
0.0,0.0,0.0,0.03553299492385787,0.0,0.005076142131979695,0.0,0.03553299492385787,0.0,0.01015228426395939,0.005076142131979695,0.868020304568528,0.0
0.0,0.0,0.0,0.01694915254237288,0.0,0.00423728813559322,0.0,0.01694915254237288,0.0,0.00847457627118644,0.00423728813559322,0.9152542372881356,0.0
0.0,0.0,0.0,0.003968253968253968,0.0,0.0,0.0,0.007936507936507936,0.0,0.011904761904761904,0.0,0.9523809523809523,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.012396694214876033,0.0,0.9628099173553719,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017937219730941704,0.0,0.008968609865470852,0.0,0.9596412556053812,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030927835051546393,0.0,0.005154639175257732,0.005154639175257732,0.9432989690721649,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03546099290780142,0.0,0.0070921985815602835,0.0070921985815602835,0.9290780141843972,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.011904761904761904,0.0,0.9166666666666666,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.9347826086956522,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
