20A.EU1,20A.S.126A,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21D.Eta,21F.Iota,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.2982233502538071,0.005076142131979695,0.0012690355329949238,0.0,0.0012690355329949238,0.6421319796954315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22351571594877764,0.010477299185098952,0.0,0.0,0.0011641443538998836,0.7287543655413271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1453900709219858,0.01773049645390071,0.0,0.0,0.0,0.8108747044917257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08983451536643026,0.022458628841607566,0.0,0.0,0.0,0.8652482269503546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.055952380952380955,0.01904761904761905,0.0,0.0,0.0,0.9023809523809524,0.0011904761904761906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03916768665850673,0.01346389228886169,0.0,0.0,0.0,0.9277845777233782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.027848101265822784,0.012658227848101266,0.0,0.0,0.0,0.9443037974683545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017310252996005325,0.013315579227696404,0.0,0.0,0.0,0.9560585885486018,0.0,0.0,0.0,0.0,0.0013315579227696406,0.0,0.0,0.0,0.0,0.0,0.0
0.010884353741496598,0.013605442176870748,0.0,0.0,0.0,0.9591836734693877,0.0,0.0,0.0,0.0,0.0013605442176870747,0.0,0.0,0.0,0.0,0.0,0.0
0.00821917808219178,0.015068493150684932,0.0,0.0,0.0,0.9575342465753425,0.0,0.0,0.0,0.0,0.0013698630136986301,0.0,0.0,0.0,0.0,0.0,0.0
0.006033182503770739,0.027149321266968326,0.0,0.0,0.0,0.947209653092006,0.0,0.0,0.0,0.0,0.0015082956259426848,0.0,0.0015082956259426848,0.0,0.0,0.0,0.0
0.006276150627615063,0.043933054393305436,0.0,0.0,0.0,0.9309623430962343,0.0,0.0,0.0,0.0,0.0,0.0,0.006276150627615063,0.0,0.0,0.0,0.0
0.00411522633744856,0.05761316872427984,0.0,0.0,0.0,0.9053497942386831,0.0,0.0,0.0,0.0,0.0,0.0,0.01646090534979424,0.0,0.0,0.0,0.0
0.0,0.04065040650406504,0.0,0.0,0.0,0.8617886178861789,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0
0.0,0.019417475728155338,0.0,0.0,0.0,0.7281553398058253,0.0,0.0,0.0,0.0,0.0,0.0,0.22330097087378642,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4214876033057851,0.0,0.0,0.01652892561983471,0.0,0.0,0.0,0.5371900826446281,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1477832512315271,0.0,0.0,0.014778325123152709,0.0,0.0,0.0049261083743842365,0.8226600985221675,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0427807486631016,0.0,0.0,0.0053475935828877,0.0,0.0,0.00267379679144385,0.9411764705882353,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0017421602787456446,0.0,0.0,0.005226480836236934,0.9790940766550522,0.0,0.0,0.0017421602787456446,0.0
0.0,0.0,0.0,0.0,0.0,0.0042796005706134095,0.0,0.0,0.0014265335235378032,0.0,0.0,0.005706134094151213,0.9871611982881597,0.0,0.0,0.0028530670470756064,0.0
0.0,0.0,0.0,0.0,0.0,0.0013513513513513514,0.0,0.0,0.0,0.0,0.0,0.005405405405405406,0.9891891891891892,0.0,0.0,0.005405405405405406,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005517241379310344,0.9917241379310345,0.0,0.0,0.008275862068965517,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007173601147776184,0.9913916786226685,0.0,0.0,0.007173601147776184,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009302325581395349,0.9891472868217054,0.0,0.0,0.004651162790697674,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007054673721340388,0.9911816578483245,0.0,0.0,0.001763668430335097,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006198347107438017,0.9917355371900827,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005076142131979695,0.9923857868020305,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.9917582417582418,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203,0.9874686716791979,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006818181818181818,0.9886363636363636,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.9930555555555556,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9970149253731343,0.0,0.0029850746268656717,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
