20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.0
0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0
0.0,0.38461538461538464,0.0,0.0,0.038461538461538464,0.0,0.5,0.0,0.0,0.0,0.0,0.0
0.0,0.24,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0
0.0,0.13636363636363635,0.0,0.0,0.0,0.0,0.6818181818181818,0.045454545454545456,0.0,0.0,0.0,0.0
0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.7058823529411765,0.058823529411764705,0.0,0.0,0.0,0.0
0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.6666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0
0.0,0.03571428571428571,0.0,0.0,0.07142857142857142,0.0,0.6785714285714286,0.17857142857142858,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0625,0.0,0.6666666666666666,0.22916666666666666,0.0,0.0,0.0,0.0
0.0,0.020833333333333332,0.0,0.0,0.041666666666666664,0.0,0.6458333333333334,0.25,0.0,0.0,0.0,0.0
0.0,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.631578947368421,0.2631578947368421,0.0,0.0,0.0,0.0
0.0,0.023809523809523808,0.0,0.0,0.023809523809523808,0.0,0.5952380952380952,0.3333333333333333,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.5434782608695652,0.3695652173913043,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.7090909090909091,0.0,0.0,0.07272727272727272,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.43636363636363634,0.5272727272727272,0.0,0.0,0.03636363636363636,0.0
0.0,0.0,0.0,0.0,0.015503875968992248,0.0,0.3953488372093023,0.5891472868217055,0.0,0.007751937984496124,0.09302325581395349,0.0
0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.3220338983050847,0.6666666666666666,0.0,0.005649717514124294,0.15254237288135594,0.0
0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.27638190954773867,0.7185929648241206,0.0,0.005025125628140704,0.1658291457286432,0.0
0.0,0.0,0.0,0.0,0.0048543689320388345,0.0,0.2524271844660194,0.7378640776699029,0.0,0.0,0.13592233009708737,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
