20A.EU2,20H.Beta.V2,20I.Alpha.V1,21A.Delta.S.K417,21A.Delta,21B.Kappa,21I.Delta,21J.Delta,DanishCluster,Delta.250I,Delta.299I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07692307692307693,0.46153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.14285714285714285,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.1891891891891892,0.32432432432432434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.24444444444444444,0.35555555555555557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.29411764705882354,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.34,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.43478260869565216,0.45652173913043476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5882352941176471,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7068965517241379,0.25862068965517243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7346938775510204,0.22448979591836735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.75,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.76,0.1,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0
0.0,0.6875,0.09375,0.0,0.041666666666666664,0.010416666666666666,0.010416666666666666,0.041666666666666664,0.0,0.0,0.0
0.0,0.6223776223776224,0.09090909090909091,0.0,0.06293706293706294,0.006993006993006993,0.013986013986013986,0.06293706293706294,0.0,0.0,0.0
0.0,0.577922077922078,0.09090909090909091,0.0,0.08441558441558442,0.0,0.025974025974025976,0.08441558441558442,0.0,0.0,0.0
0.0,0.5161290322580645,0.0967741935483871,0.0,0.10483870967741936,0.0,0.03225806451612903,0.0967741935483871,0.0,0.0,0.0
0.0,0.4177215189873418,0.10126582278481013,0.0,0.11392405063291139,0.0,0.02531645569620253,0.10126582278481013,0.0,0.0,0.0
0.0,0.3,0.12,0.0,0.12,0.0,0.04,0.16,0.0,0.0,0.0
0.0,0.225,0.125,0.0,0.15,0.0,0.05,0.3,0.0,0.0,0.0
0.0,0.1875,0.09375,0.0,0.21875,0.0,0.0625,0.375,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.9354838709677419,0.0,0.03225806451612903,0.0
0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.04819277108433735,0.927710843373494,0.0,0.024096385542168676,0.0
0.0,0.0,0.0,0.008064516129032258,0.016129032258064516,0.0,0.056451612903225805,0.9193548387096774,0.0,0.024193548387096774,0.008064516129032258
0.0,0.0,0.0,0.0,0.03278688524590164,0.0,0.05737704918032787,0.9016393442622951,0.0,0.03278688524590164,0.00819672131147541
0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.05434782608695652,0.8913043478260869,0.0,0.03260869565217391,0.010869565217391304
0.0,0.0,0.0,0.0,0.05,0.0,0.03333333333333333,0.8833333333333333,0.0,0.016666666666666666,0.0
0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.030303030303030304,0.9090909090909091,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
