20A.EU1,20A.EU2,20A.S.126A,20A.S.210T,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21951219512195122,0.36585365853658536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20161290322580644,0.3709677419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19262295081967212,0.36885245901639346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20567375886524822,0.375886524822695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23293172690763053,0.3614457831325301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2543859649122807,0.34210526315789475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24166666666666667,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23225806451612904,0.3741935483870968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23918575063613232,0.4020356234096692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.248,0.4053333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,0.0,0.0
0.2644927536231884,0.3804347826086957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036231884057971015,0.0,0.0
0.29508196721311475,0.3442622950819672,0.0,0.0,0.0,0.0,0.0,0.01092896174863388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32608695652173914,0.3188405797101449,0.0,0.0,0.0,0.0,0.0,0.036231884057971016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2975206611570248,0.3140495867768595,0.0,0.0,0.0,0.0,0.008264462809917356,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23577235772357724,0.2845528455284553,0.0,0.0,0.0,0.0,0.024390243902439025,0.15447154471544716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19745222929936307,0.24203821656050956,0.0,0.0,0.0,0.0,0.03821656050955414,0.2484076433121019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13839285714285715,0.17410714285714285,0.0,0.0,0.0,0.0,0.05357142857142857,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08664259927797834,0.1299638989169675,0.0,0.0,0.0,0.0,0.06498194945848375,0.48375451263537905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04819277108433735,0.10441767068273092,0.0,0.0,0.0,0.0,0.10040160642570281,0.5301204819277109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02092050209205021,0.07112970711297072,0.0,0.0,0.0,0.0,0.1589958158995816,0.5648535564853556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009900990099009901,0.039603960396039604,0.0,0.0,0.0,0.0,0.19141914191419143,0.5874587458745875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008547008547008548,0.02564102564102564,0.0,0.005698005698005698,0.0,0.0,0.21082621082621084,0.603988603988604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0056179775280898875,0.019662921348314606,0.0,0.008426966292134831,0.0,0.0,0.23595505617977527,0.6264044943820225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005194805194805195,0.01038961038961039,0.0,0.01038961038961039,0.0,0.0025974025974025974,0.23896103896103896,0.6701298701298701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004545454545454545,0.004545454545454545,0.0,0.00909090909090909,0.0,0.004545454545454545,0.2159090909090909,0.7159090909090909,0.004545454545454545,0.0,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0022727272727272726,0.0,0.0,0.0
0.004081632653061225,0.0020408163265306124,0.0,0.006122448979591836,0.0,0.006122448979591836,0.18571428571428572,0.7612244897959184,0.01020408163265306,0.0,0.0,0.0,0.0020408163265306124,0.0,0.0,0.006122448979591836,0.0,0.0,0.0
0.003861003861003861,0.0,0.0,0.003861003861003861,0.0,0.003861003861003861,0.14864864864864866,0.805019305019305,0.011583011583011582,0.0,0.0019305019305019305,0.0,0.003861003861003861,0.0,0.0,0.003861003861003861,0.0,0.0,0.0
0.0018726591760299626,0.0,0.0,0.0018726591760299626,0.0,0.0056179775280898875,0.11235955056179775,0.8408239700374532,0.011235955056179775,0.0,0.003745318352059925,0.0,0.00749063670411985,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0018832391713747645,0.0,0.009416195856873822,0.09227871939736347,0.8455743879472694,0.018832391713747645,0.0,0.003766478342749529,0.0,0.013182674199623353,0.0,0.0,0.0,0.0018832391713747645,0.0,0.0
0.0,0.0,0.0,0.002070393374741201,0.0,0.014492753623188406,0.08902691511387163,0.8198757763975155,0.031055900621118012,0.004140786749482402,0.002070393374741201,0.0,0.018633540372670808,0.0,0.0,0.0,0.004140786749482402,0.0,0.0
0.0,0.0,0.0,0.002457002457002457,0.0,0.019656019656019656,0.08108108108108109,0.7862407862407862,0.04176904176904177,0.019656019656019656,0.0,0.0,0.022113022113022112,0.0,0.0,0.0,0.002457002457002457,0.0,0.0
0.0,0.0,0.0,0.0030864197530864196,0.0,0.015432098765432098,0.06481481481481481,0.75,0.043209876543209874,0.05246913580246913,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.004132231404958678,0.0,0.012396694214876033,0.045454545454545456,0.7066115702479339,0.04132231404958678,0.10330578512396695,0.0,0.0,0.024793388429752067,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0055248618784530384,0.027624309392265192,0.6464088397790055,0.049723756906077346,0.1712707182320442,0.0,0.0,0.011049723756906077,0.0,0.0,0.011049723756906077,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.014492753623188406,0.572463768115942,0.050724637681159424,0.2318840579710145,0.0,0.0,0.0,0.0,0.0,0.057971014492753624,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4807692307692308,0.057692307692307696,0.25,0.0,0.0,0.0,0.0,0.0,0.14423076923076922,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.24,0.18,0.0,0.0,0.0,0.0,0.01,0.26,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.058823529411764705,0.5454545454545454,0.0855614973262032,0.0,0.0,0.0,0.0,0.016042780748663103,0.2727272727272727,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.002898550724637681,0.02608695652173913,0.6202898550724638,0.04057971014492753,0.0,0.0,0.0,0.0,0.017391304347826087,0.2811594202898551,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.5710955710955711,0.02097902097902098,0.0,0.0,0.0,0.0,0.03263403263403263,0.34265734265734266,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02030456852791878,0.4543147208121827,0.01015228426395939,0.0,0.0,0.0,0.0,0.06852791878172589,0.43908629441624364,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.30448717948717946,0.00641025641025641,0.0,0.0,0.0,0.0,0.11217948717948718,0.5544871794871795,0.0,0.0,0.003205128205128205
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00796812749003984,0.1752988047808765,0.00398406374501992,0.0,0.0,0.0,0.0,0.13147410358565736,0.6772908366533864,0.0,0.0,0.00398406374501992
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07834101382488479,0.004608294930875576,0.0,0.0,0.0,0.0,0.11059907834101383,0.7972350230414746,0.0,0.0,0.004608294930875576
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019230769230769232,0.009615384615384616,0.0,0.0,0.0,0.0,0.08653846153846154,0.8798076923076923,0.0,0.0,0.004807692307692308
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013100436681222707,0.0,0.0,0.0,0.0,0.07860262008733625,0.9039301310043668,0.0,0.0,0.004366812227074236
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.07364341085271318,0.9147286821705426,0.0,0.003875968992248062,0.007751937984496124
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007168458781362007,0.0,0.0,0.0,0.0,0.07885304659498207,0.9139784946236559,0.0,0.0035842293906810036,0.014336917562724014
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0777027027027027,0.918918918918919,0.0,0.0,0.013513513513513514
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05379746835443038,0.9462025316455697,0.0,0.0,0.015822784810126583
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032640949554896145,0.9673590504451038,0.0,0.002967359050445104,0.017804154302670624
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018072289156626505,0.9789156626506024,0.0,0.0030120481927710845,0.02710843373493976
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941,0.984313725490196,0.0,0.00392156862745098,0.027450980392156862
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
