20A.EU1,20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.07207207207207207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04504504504504504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09016393442622951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07377049180327869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.09929078014184398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09219858156028368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.11042944785276074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07975460122699386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0641025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.42207792207792205,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.05194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4175824175824176,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.06043956043956044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.47368421052631576,0.0,0.0,0.004784688995215311,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5974025974025974,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6585903083700441,0.0,0.0,0.00881057268722467,0.0,0.0,0.0,0.0,0.037444933920704845,0.0,0.0,0.0,0.0,0.0,0.0022026431718061676,0.0,0.0,0.0
0.0,0.6787072243346007,0.0,0.0,0.009505703422053232,0.0,0.0,0.0,0.0,0.04182509505703422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.714041095890411,0.0,0.0,0.011986301369863013,0.0,0.0,0.0,0.0,0.04452054794520548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7353846153846154,0.0,0.0,0.015384615384615385,0.0015384615384615385,0.0,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7163695299837926,0.0,0.0,0.02106969205834684,0.0016207455429497568,0.0,0.0,0.0,0.04700162074554295,0.0016207455429497568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.703971119133574,0.0,0.0,0.02707581227436823,0.0036101083032490976,0.0,0.0,0.0018050541516245488,0.04512635379061372,0.0018050541516245488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.723404255319149,0.0,0.0,0.03288201160541586,0.009671179883945842,0.0,0.0,0.0,0.0425531914893617,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.744721689059501,0.0,0.0019193857965451055,0.044145873320537425,0.01727447216890595,0.0,0.0,0.0,0.03838771593090211,0.0019193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.75,0.0,0.001736111111111111,0.0625,0.024305555555555556,0.0,0.0,0.0,0.036458333333333336,0.003472222222222222,0.003472222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.7207062600321027,0.0,0.0016051364365971107,0.08507223113964688,0.038523274478330656,0.0,0.0,0.0,0.03531300160513644,0.0032102728731942215,0.008025682182985553,0.0016051364365971107,0.0,0.0,0.0016051364365971107,0.0,0.0,0.0
0.0,0.6532738095238095,0.0,0.002976190476190476,0.11011904761904762,0.05654761904761905,0.0,0.0,0.0,0.03422619047619048,0.002976190476190476,0.013392857142857142,0.004464285714285714,0.0,0.0,0.001488095238095238,0.0,0.0,0.0
0.0,0.5767195767195767,0.0,0.003968253968253968,0.13624338624338625,0.07936507936507936,0.0,0.0,0.0,0.03042328042328042,0.003968253968253968,0.013227513227513227,0.006613756613756613,0.003968253968253968,0.0,0.0,0.0,0.0,0.0
0.0,0.5031133250311333,0.0,0.0037359900373599006,0.1581569115815691,0.11083437110834371,0.0,0.0,0.0,0.0273972602739726,0.0049813200498132005,0.009962640099626401,0.0112079701120797,0.009962640099626401,0.0012453300124533001,0.0,0.0,0.0,0.0
0.0,0.4186335403726708,0.0012422360248447205,0.002484472049689441,0.17763975155279504,0.16273291925465838,0.0,0.0,0.0,0.02236024844720497,0.007453416149068323,0.008695652173913044,0.014906832298136646,0.013664596273291925,0.004968944099378882,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.0011904761904761906,0.0,0.19404761904761905,0.2261904761904762,0.0,0.0011904761904761906,0.0,0.014285714285714285,0.007142857142857143,0.008333333333333333,0.016666666666666666,0.016666666666666666,0.015476190476190477,0.0,0.0,0.0,0.0
0.0,0.2444933920704846,0.0,0.0,0.20044052863436124,0.2918502202643172,0.0,0.0,0.0,0.00881057268722467,0.006607929515418502,0.009911894273127754,0.01762114537444934,0.028634361233480177,0.03303964757709251,0.0,0.0,0.0,0.0
0.0,0.17587939698492464,0.0,0.0,0.19497487437185929,0.34773869346733666,0.0,0.0,0.0,0.007035175879396985,0.005025125628140704,0.01306532663316583,0.018090452261306532,0.04120603015075377,0.05527638190954774,0.0,0.0,0.0,0.0
0.0,0.1414141414141414,0.00101010101010101,0.0,0.17777777777777778,0.3575757575757576,0.0,0.0,0.0,0.006060606060606061,0.00404040404040404,0.01818181818181818,0.021212121212121213,0.050505050505050504,0.09393939393939393,0.0,0.0,0.0,0.0
0.0,0.11434511434511435,0.0,0.0,0.14345114345114346,0.3076923076923077,0.0,0.0010395010395010396,0.0,0.005197505197505198,0.004158004158004158,0.02182952182952183,0.02494802494802495,0.08004158004158005,0.17983367983367984,0.0,0.0,0.0,0.0
0.0,0.07820136852394917,0.0,0.0,0.09970674486803519,0.23460410557184752,0.0,0.004887585532746823,0.0,0.0039100684261974585,0.002932551319648094,0.022482893450635387,0.03421309872922776,0.13685239491691104,0.2854349951124145,0.0,0.0,0.0,0.0
0.0,0.045283018867924525,0.0,0.0,0.06509433962264151,0.17169811320754716,0.0009433962264150943,0.013207547169811321,0.0,0.0018867924528301887,0.0018867924528301887,0.017924528301886792,0.045283018867924525,0.19622641509433963,0.3613207547169811,0.0,0.0,0.0,0.0
0.0,0.0224390243902439,0.0,0.0,0.04,0.12390243902439024,0.0,0.021463414634146343,0.0,0.000975609756097561,0.000975609756097561,0.013658536585365854,0.04975609756097561,0.23902439024390243,0.424390243902439,0.0,0.0,0.0,0.0
0.0,0.010138248847926268,0.0,0.0,0.023963133640552997,0.08571428571428572,0.0,0.016589861751152075,0.0,0.0,0.0,0.009216589861751152,0.03963133640552995,0.2663594470046083,0.5004608294930876,0.0,0.0,0.0,0.0
0.0,0.004909983633387889,0.0,0.0,0.014729950900163666,0.062193126022913256,0.0,0.012274959083469721,0.0,0.0,0.0,0.007364975450081833,0.027004909983633387,0.2839607201309329,0.5515548281505729,0.0,0.0,0.0,0.0
0.0,0.0031923383878691143,0.0,0.0,0.009577015163607342,0.047086991221069435,0.0,0.014365522745411013,0.0,0.0,0.0,0.00558659217877095,0.018355945730247406,0.28092577813248204,0.5913806863527534,0.0,0.0,0.0,0.0
0.0,0.0016625103906899418,0.0,0.0,0.004987531172069825,0.032418952618453865,0.0,0.017456359102244388,0.0,0.0,0.0,0.004156275976724855,0.012468827930174564,0.256857855361596,0.6467165419783873,0.0,0.0,0.0,0.0
0.0,0.0008896797153024911,0.0,0.0,0.0017793594306049821,0.020462633451957295,0.0,0.014234875444839857,0.0,0.0,0.0,0.0026690391459074734,0.00800711743772242,0.24377224199288255,0.6903914590747331,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0009478672985781991,0.014218009478672985,0.0,0.009478672985781991,0.0,0.0,0.0,0.0018957345971563982,0.004739336492890996,0.2559241706161137,0.7014218009478673,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.00099601593625498,0.008964143426294821,0.0,0.008964143426294821,0.0,0.0,0.0,0.0,0.00298804780876494,0.26593625498007967,0.704183266932271,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.005859375,0.0,0.0087890625,0.0,0.0,0.0,0.0,0.0009765625,0.265625,0.712890625,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0038022813688212928,0.0,0.006653992395437262,0.0,0.0,0.0,0.0,0.0009505703422053232,0.25380228136882127,0.7319391634980988,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0018433179723502304,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.0009216589861751152,0.22857142857142856,0.7612903225806451,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0008833922261484099,0.0,0.00441696113074205,0.0,0.0,0.0,0.0,0.0,0.21289752650176677,0.7800353356890459,0.0,0.0,0.0008833922261484099,0.0008833922261484099
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004668534080298786,0.0,0.0,0.0,0.0,0.0,0.20728291316526612,0.7861811391223156,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004581901489117984,0.0,0.0,0.0,0.0,0.0,0.2016036655211913,0.7926689576174112,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004724409448818898,0.0,0.0,0.0,0.0,0.0,0.19370078740157481,0.8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002320185614849188,0.0,0.0,0.0,0.0,0.0,0.18097447795823665,0.8120649651972158,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00411522633744856,0.0,0.0,0.0,0.0,0.0,0.1646090534979424,0.8271604938271605,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
