20A.EU1,20A.S.126A,20H.Beta.V2,20I.Alpha.V1,21A.Delta,21B.Kappa,21D.Eta,21I.Delta,21J.Delta,DanishCluster,Delta.250I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005494505494505495,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.007633587786259542,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.007751937984496124,0.0,0.007751937984496124,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.0
0.0,0.0,0.0,0.011904761904761904,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0
0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.05747126436781609,0.0,0.0
0.0,0.0,0.0,0.02197802197802198,0.01098901098901099,0.0,0.0,0.01098901098901099,0.054945054945054944,0.0,0.0
0.0,0.0,0.0,0.04807692307692308,0.019230769230769232,0.0,0.0,0.009615384615384616,0.04807692307692308,0.0,0.0
0.0,0.0,0.016666666666666666,0.058333333333333334,0.025,0.0,0.0,0.008333333333333333,0.05,0.0,0.0
0.0,0.0,0.028368794326241134,0.04964539007092199,0.02127659574468085,0.0,0.0,0.0070921985815602835,0.04964539007092199,0.0,0.0
0.0,0.0,0.016853932584269662,0.03932584269662921,0.011235955056179775,0.0,0.0,0.016853932584269662,0.07865168539325842,0.0,0.0
0.0,0.0,0.008658008658008658,0.030303030303030304,0.004329004329004329,0.0,0.0,0.04329004329004329,0.1774891774891775,0.0,0.0
0.0,0.0,0.0037735849056603774,0.022641509433962263,0.0037735849056603774,0.0,0.0,0.08679245283018867,0.3283018867924528,0.0,0.0
0.0,0.0,0.0036496350364963502,0.010948905109489052,0.0072992700729927005,0.0,0.0,0.13503649635036497,0.4744525547445255,0.0,0.0
0.0,0.0,0.0,0.0031645569620253164,0.0031645569620253164,0.0,0.0,0.17721518987341772,0.5759493670886076,0.0,0.0
0.0,0.0,0.0,0.0024449877750611247,0.004889975550122249,0.0,0.0,0.19559902200489,0.6405867970660146,0.0,0.0
0.0,0.0,0.0,0.0042643923240938165,0.0042643923240938165,0.0,0.0,0.2068230277185501,0.6780383795309168,0.0,0.0
0.0,0.0,0.0,0.00663716814159292,0.0022123893805309734,0.0,0.0,0.2234513274336283,0.6858407079646017,0.0,0.0
0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.245,0.685,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2514450867052023,0.6965317919075145,0.0,0.0
0.0,0.0,0.0,0.0,0.003194888178913738,0.0,0.0,0.24281150159744408,0.7220447284345048,0.0,0.0
0.0,0.0,0.0,0.0,0.00641025641025641,0.0,0.0,0.23076923076923078,0.7371794871794872,0.0,0.0
0.0,0.0,0.0,0.0,0.013114754098360656,0.0,0.0,0.2360655737704918,0.7344262295081967,0.0,0.0
0.0,0.0,0.0,0.0,0.011278195488721804,0.0,0.0,0.24812030075187969,0.7293233082706767,0.0,0.0
0.0,0.0,0.0,0.0,0.004166666666666667,0.0,0.0,0.24583333333333332,0.7416666666666667,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2297872340425532,0.7659574468085106,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.7627906976744186,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.7440476190476191,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.7698412698412699,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15306122448979592,0.826530612244898,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11267605633802817,0.8873239436619719,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,0.8888888888888888,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.9130434782608695,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
