20A.EU1,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21C.Epsilon,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0196078431372549,0.0,0.09803921568627451,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0
0.0,0.0,0.10204081632653061,0.0,0.0,0.0,0.12244897959183673,0.0,0.0,0.0,0.0
0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.21153846153846154,0.0,0.0,0.0,0.0
0.0,0.0,0.06,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0
0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.2765957446808511,0.0,0.0,0.0,0.0
0.0,0.0,0.08928571428571429,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
0.0,0.0,0.09836065573770492,0.0,0.0,0.0,0.2786885245901639,0.0,0.0,0.0,0.0
0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.39655172413793105,0.0,0.0,0.0,0.0
0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.5441176470588235,0.0,0.0,0.0,0.0
0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.6354166666666666,0.0,0.0,0.0,0.0
0.0,0.009009009009009009,0.11711711711711711,0.0,0.0,0.0,0.7027027027027027,0.0,0.0,0.0,0.0
0.0,0.00980392156862745,0.13725490196078433,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.0,0.0
0.0,0.01904761904761905,0.1523809523809524,0.0,0.0,0.0,0.7047619047619048,0.0,0.0,0.0,0.0
0.0,0.02531645569620253,0.14556962025316456,0.0,0.0,0.0,0.7341772151898734,0.0,0.0,0.0,0.0
0.0,0.018518518518518517,0.1527777777777778,0.0,0.0,0.0,0.7546296296296297,0.0,0.0,0.0,0.0
0.0,0.00975609756097561,0.16585365853658537,0.0,0.0,0.0,0.7658536585365854,0.0,0.0,0.0,0.0
0.0,0.0,0.16568047337278108,0.0,0.0,0.0,0.7869822485207101,0.0,0.0,0.0,0.0
0.0,0.0,0.16149068322981366,0.0,0.0,0.0,0.8012422360248447,0.0,0.0,0.0,0.0
0.0,0.0,0.17391304347826086,0.0,0.0,0.0,0.7888198757763976,0.0,0.0,0.0,0.0
0.0,0.0,0.1927710843373494,0.0,0.0,0.0,0.7650602409638554,0.0,0.0,0.006024096385542169,0.0
0.0,0.0,0.2046783625730994,0.0,0.0,0.0,0.7602339181286549,0.0,0.0,0.0,0.005847953216374269
0.0,0.0,0.19339622641509435,0.0,0.0,0.0,0.7830188679245284,0.0,0.0,0.0,0.0047169811320754715
0.0,0.0,0.1901639344262295,0.0,0.0,0.0,0.7836065573770492,0.003278688524590164,0.0,0.0,0.0
0.0,0.0,0.20648967551622419,0.0,0.0,0.0,0.7610619469026548,0.0058997050147492625,0.0,0.0058997050147492625,0.0029498525073746312
0.0,0.0,0.2202797202797203,0.0,0.0,0.0,0.7342657342657343,0.006993006993006993,0.0,0.01048951048951049,0.006993006993006993
0.0,0.0,0.23766816143497757,0.0,0.0,0.0,0.6995515695067265,0.013452914798206279,0.0,0.017937219730941704,0.004484304932735426
0.0,0.0,0.2837209302325581,0.0,0.0,0.0,0.6465116279069767,0.013953488372093023,0.0,0.023255813953488372,0.0
0.0,0.0,0.3192307692307692,0.0,0.0,0.0,0.6,0.019230769230769232,0.0038461538461538464,0.038461538461538464,0.0
0.0,0.0,0.3286219081272085,0.0,0.0,0.0,0.5618374558303887,0.028268551236749116,0.007067137809187279,0.06007067137809187,0.0
0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5116279069767442,0.04263565891472868,0.011627906976744186,0.08914728682170543,0.0
0.0,0.0,0.344,0.0,0.004,0.0,0.424,0.056,0.012,0.14,0.0
0.0,0.0,0.3569023569023569,0.0,0.006734006734006734,0.0,0.367003367003367,0.06397306397306397,0.010101010101010102,0.17845117845117844,0.0
0.0,0.0,0.363914373088685,0.0,0.0061162079510703364,0.0,0.3394495412844037,0.0672782874617737,0.012232415902140673,0.19571865443425077,0.0
0.0,0.0,0.3514376996805112,0.0,0.006389776357827476,0.0,0.3003194888178914,0.06389776357827476,0.022364217252396165,0.24281150159744408,0.0
0.0,0.0,0.3092105263157895,0.0,0.006578947368421052,0.0,0.2565789473684211,0.05921052631578947,0.03289473684210526,0.3256578947368421,0.0
0.0,0.0,0.27884615384615385,0.0,0.00641025641025641,0.0,0.21474358974358973,0.04807692307692308,0.041666666666666664,0.3974358974358974,0.0
0.0,0.0,0.26011560693641617,0.002890173410404624,0.005780346820809248,0.0,0.17052023121387283,0.03757225433526012,0.04046242774566474,0.476878612716763,0.0
0.0,0.0,0.23298429319371727,0.002617801047120419,0.002617801047120419,0.0,0.13350785340314136,0.02356020942408377,0.031413612565445025,0.5680628272251309,0.0
0.0,0.0,0.1918158567774936,0.0,0.0,0.0,0.10230179028132992,0.01278772378516624,0.02557544757033248,0.6624040920716112,0.0
0.0,0.0,0.13941018766756033,0.0,0.0,0.0,0.07506702412868632,0.005361930294906166,0.02680965147453083,0.7479892761394102,0.0
0.0,0.0,0.08955223880597014,0.0,0.0,0.0,0.04776119402985075,0.005970149253731343,0.03582089552238806,0.8149253731343283,0.0
0.0,0.0,0.05511811023622047,0.0,0.0,0.0,0.027559055118110236,0.007874015748031496,0.047244094488188976,0.8543307086614174,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
