20A.EU1,20A.EU2,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,21A.Delta,21I.Delta,21J.Delta,Delta.145H,Delta.250I
0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.045454545454545456,0.13636363636363635,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
0.06666666666666667,0.06666666666666667,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
0.04878048780487805,0.04878048780487805,0.0,0.0,0.36585365853658536,0.0,0.0,0.0,0.0,0.0
0.0425531914893617,0.0425531914893617,0.0,0.0,0.5531914893617021,0.0,0.0,0.0,0.0,0.0
0.016129032258064516,0.03225806451612903,0.0,0.0,0.6935483870967742,0.0,0.0,0.0,0.0,0.0
0.02247191011235955,0.0449438202247191,0.0,0.0,0.7640449438202247,0.0,0.0,0.0,0.0,0.0
0.02608695652173913,0.043478260869565216,0.0,0.0,0.8260869565217391,0.0,0.0,0.0,0.0,0.0
0.015748031496062992,0.023622047244094488,0.0,0.0,0.8818897637795275,0.0,0.0,0.0,0.0,0.0
0.007194244604316547,0.014388489208633094,0.0,0.0,0.935251798561151,0.0,0.0,0.0,0.0,0.0
0.0,0.017045454545454544,0.0,0.0,0.9431818181818182,0.0,0.0,0.0,0.0,0.0
0.0,0.017094017094017096,0.0,0.0,0.9529914529914529,0.0,0.0,0.0,0.0,0.0
0.0,0.007017543859649123,0.0,0.0,0.9754385964912281,0.0,0.0,0.0,0.0,0.0
0.0,0.003215434083601286,0.0,0.0,0.9839228295819936,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9898648648648649,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9920948616600791,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9951923076923077,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9941176470588236,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9024390243902439,0.0,0.0,0.04878048780487805,0.0,0.0
0.0,0.0,0.0,0.0,0.7959183673469388,0.0,0.0,0.16326530612244897,0.0,0.0
0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.3333333333333333,0.0,0.0
0.0,0.0,0.0,0.0,0.5068493150684932,0.0,0.0,0.4520547945205479,0.0,0.0
0.0,0.0,0.0,0.0,0.40476190476190477,0.0,0.011904761904761904,0.5476190476190477,0.0,0.0
0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.045454545454545456,0.6704545454545454,0.0,0.0
0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.07407407407407407,0.7962962962962963,0.0,0.0
0.0,0.0,0.0,0.0,0.03205128205128205,0.00641025641025641,0.08974358974358974,0.8589743589743589,0.0,0.0
0.0,0.0,0.0,0.0,0.013888888888888888,0.004629629629629629,0.10648148148148148,0.8611111111111112,0.0,0.0
0.0,0.0,0.0,0.0,0.007168458781362007,0.007168458781362007,0.12186379928315412,0.8566308243727598,0.0,0.0
0.0,0.0,0.0,0.0,0.002849002849002849,0.002849002849002849,0.13105413105413105,0.8547008547008547,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.14114832535885166,0.8492822966507177,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.15242494226327943,0.8406466512702079,0.0023094688221709007,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.1564102564102564,0.841025641025641,0.007692307692307693,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.16451612903225807,0.8354838709677419,0.012903225806451613,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.8163265306122449,0.02040816326530612,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
