20A.EU1,20A.EU2,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21C.Epsilon,21D.Eta,21F.Iota,21I.Delta,21J.Delta,DanishCluster,Delta.145H,Delta.250I,Delta.299I
0.0,0.0,0.0,0.1875,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.2857142857142857,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3611111111111111,0.2777777777777778,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.41935483870967744,0.25806451612903225,0.0,0.0,0.0,0.08064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.43529411764705883,0.2235294117647059,0.0,0.0,0.011764705882352941,0.10588235294117647,0.0,0.0,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.3655913978494624,0.1935483870967742,0.010752688172043012,0.0,0.043010752688172046,0.11827956989247312,0.0,0.010752688172043012,0.0,0.021505376344086023,0.043010752688172046,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.24731182795698925,0.16129032258064516,0.010752688172043012,0.0,0.11827956989247312,0.11827956989247312,0.0,0.010752688172043012,0.0,0.043010752688172046,0.10752688172043011,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.13978494623655913,0.12903225806451613,0.0,0.0,0.25806451612903225,0.08602150537634409,0.0,0.010752688172043012,0.0,0.053763440860215055,0.17204301075268819,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08602150537634409,0.08602150537634409,0.0,0.0,0.3333333333333333,0.043010752688172046,0.0,0.0,0.0,0.053763440860215055,0.25806451612903225,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.057692307692307696,0.04807692307692308,0.0,0.0,0.23076923076923078,0.019230769230769232,0.0,0.0,0.0,0.09615384615384616,0.4423076923076923,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.04411764705882353,0.014705882352941176,0.0,0.0,0.10294117647058823,0.007352941176470588,0.0,0.0,0.0,0.18382352941176472,0.5882352941176471,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.03184713375796178,0.006369426751592357,0.0,0.0,0.050955414012738856,0.0,0.0,0.0,0.0,0.2356687898089172,0.6114649681528662,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.027586206896551724,0.006896551724137931,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.2206896551724138,0.6551724137931034,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.017391304347826087,0.008695652173913044,0.0,0.0,0.02608695652173913,0.0,0.0,0.0,0.0,0.14782608695652175,0.7565217391304347,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.06741573033707865,0.8651685393258427,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.9204545454545454,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.927710843373494,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.06578947368421052,0.8552631578947368,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.04827586206896552,0.896551724137931,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016835016835016835,0.0,0.0,0.0,0.0,0.016835016835016835,0.9595959595959596,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004819277108433735,0.0,0.0,0.0,0.0,0.004819277108433735,0.9855421686746988,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006896551724137931,0.9908045977011494,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020202020202020204,0.9772727272727273,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04986149584487535,0.9445983379501385,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002577319587628866,0.0,0.0,0.0,0.0,0.061855670103092786,0.9329896907216495,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03803131991051454,0.9574944071588367,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01580135440180587,0.9841986455981941,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00516795865633075,0.9948320413436692,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002932551319648094,0.9970674486803519,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031645569620253164,0.9968354430379747,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964028776978417,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996268656716418,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
