20A.EU1,20A.EU2,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta.S.K417,21A.Delta,21B.Kappa,21D.Eta,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.03333333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.023809523809523808,0.11904761904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.06666666666666667,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9344262295081968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.027522935779816515,0.908256880733945,0.0,0.0,0.027522935779816515,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.03349282296650718,0.8564593301435407,0.0,0.0,0.07655502392344497,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.030201342281879196,0.825503355704698,0.0,0.0,0.11409395973154363,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.02287581699346405,0.8202614379084967,0.0,0.0,0.12091503267973856,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.016666666666666666,0.825,0.0,0.0,0.12083333333333333,0.0,0.0,0.0,0.004166666666666667,0.0
0.0,0.0,0.011976047904191617,0.7664670658682635,0.0,0.0,0.17964071856287425,0.0,0.0,0.0,0.023952095808383235,0.0
0.0,0.0,0.012658227848101266,0.620253164556962,0.0,0.0,0.31645569620253167,0.0,0.0,0.0,0.0379746835443038,0.0
0.0,0.0,0.022727272727272728,0.5170454545454546,0.0,0.0,0.4090909090909091,0.0,0.0,0.0,0.03409090909090909,0.0
0.0,0.0,0.025477707006369428,0.45222929936305734,0.0,0.0,0.4713375796178344,0.0,0.0,0.0,0.03184713375796178,0.0
0.0,0.0,0.023255813953488372,0.3643410852713178,0.0,0.0,0.5426356589147286,0.0,0.0,0.0,0.05426356589147287,0.0
0.0,0.0,0.02,0.31333333333333335,0.0,0.0,0.5533333333333333,0.0,0.0,0.0,0.1,0.0
0.0,0.0,0.019801980198019802,0.29207920792079206,0.0,0.0,0.5445544554455446,0.0,0.0,0.0,0.12871287128712872,0.0
0.0,0.0,0.023696682464454975,0.26066350710900477,0.0,0.0,0.5687203791469194,0.0,0.0,0.0,0.13744075829383887,0.0
0.0,0.0,0.011627906976744186,0.22674418604651161,0.0,0.0,0.5930232558139535,0.0,0.0,0.0,0.1511627906976744,0.0
0.0,0.0,0.0,0.20863309352517986,0.0,0.0,0.5971223021582733,0.0,0.0,0.0,0.17985611510791366,0.0
0.0,0.0,0.0,0.17164179104477612,0.0,0.0,0.5895522388059702,0.0,0.0,0.0,0.21641791044776118,0.0
0.0,0.0,0.0,0.10606060606060606,0.0,0.0,0.5833333333333334,0.0,0.0,0.0,0.29545454545454547,0.0
0.0,0.0,0.007352941176470588,0.051470588235294115,0.0,0.0,0.5514705882352942,0.0,0.0,0.0,0.375,0.0
0.0,0.0,0.013071895424836602,0.026143790849673203,0.0,0.0,0.5294117647058824,0.0,0.0,0.0,0.41830065359477125,0.0
0.0,0.0,0.011111111111111112,0.016666666666666666,0.0,0.0,0.5111111111111111,0.0,0.0,0.0,0.45,0.0
0.0,0.0,0.004524886877828055,0.013574660633484163,0.0,0.0,0.4253393665158371,0.0,0.0,0.004524886877828055,0.5429864253393665,0.0
0.0,0.0,0.0,0.013745704467353952,0.0,0.0,0.31958762886597936,0.0,0.0,0.006872852233676976,0.6529209621993127,0.0
0.0,0.0,0.0,0.013736263736263736,0.0,0.0,0.2445054945054945,0.0,0.0,0.013736263736263736,0.7225274725274725,0.0
0.0,0.0,0.0,0.014598540145985401,0.0,0.0,0.20681265206812652,0.0,0.0,0.029197080291970802,0.7445255474452555,0.0
0.0,0.0,0.0,0.01240694789081886,0.0,0.0,0.1935483870967742,0.0,0.0,0.052109181141439205,0.739454094292804,0.0
0.0,0.0,0.0,0.006578947368421052,0.0,0.0,0.1875,0.0,0.0,0.06578947368421052,0.7335526315789473,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
