20B.S.732A,20B.S.796H,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21A.Delta,21C.Epsilon,21D.Eta,21F.Iota,21G.Lambda,21H.Mu,21I.Delta,21J.Delta,DanishCluster,Delta.250I
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06666666666666667,0.0,0.0,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0
0.023255813953488372,0.046511627906976744,0.0,0.09302325581395349,0.09302325581395349,0.0,0.023255813953488372,0.0,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0
0.015151515151515152,0.045454545454545456,0.0,0.10606060606060606,0.12121212121212122,0.0,0.030303030303030304,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0
0.011904761904761904,0.011904761904761904,0.0,0.14285714285714285,0.16666666666666666,0.0,0.023809523809523808,0.0,0.011904761904761904,0.05952380952380952,0.0,0.0,0.0,0.0,0.0
0.011111111111111112,0.0,0.0,0.16666666666666666,0.2222222222222222,0.0,0.022222222222222223,0.0,0.011111111111111112,0.1,0.0,0.0,0.0,0.0,0.0
0.02040816326530612,0.0,0.0,0.15306122448979592,0.2755102040816326,0.0,0.01020408163265306,0.0,0.01020408163265306,0.11224489795918367,0.0,0.0,0.0,0.0,0.0
0.016666666666666666,0.0,0.0,0.13333333333333333,0.30833333333333335,0.0,0.016666666666666666,0.0,0.008333333333333333,0.11666666666666667,0.0,0.0,0.0,0.0,0.0
0.02054794520547945,0.0,0.0,0.13013698630136986,0.3424657534246575,0.0,0.0136986301369863,0.0,0.0,0.13013698630136986,0.0,0.0,0.0,0.0,0.0
0.01935483870967742,0.0,0.0,0.12903225806451613,0.3935483870967742,0.0,0.012903225806451613,0.0,0.0064516129032258064,0.15483870967741936,0.0,0.0,0.0,0.0,0.0
0.013888888888888888,0.0,0.0,0.125,0.4375,0.0,0.013888888888888888,0.0,0.006944444444444444,0.1736111111111111,0.0,0.0,0.0,0.0,0.0
0.014084507042253521,0.0,0.0,0.11971830985915492,0.5,0.0,0.02112676056338028,0.0,0.007042253521126761,0.1619718309859155,0.0,0.0,0.0,0.0,0.0
0.006944444444444444,0.0,0.0,0.125,0.5486111111111112,0.0,0.020833333333333332,0.0,0.006944444444444444,0.1597222222222222,0.0,0.0,0.0,0.0,0.0
0.006993006993006993,0.0,0.0,0.11188811188811189,0.5664335664335665,0.0,0.013986013986013986,0.0,0.006993006993006993,0.1888111888111888,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.09803921568627451,0.5816993464052288,0.0,0.006535947712418301,0.0,0.006535947712418301,0.22875816993464052,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.08670520231213873,0.6184971098265896,0.0,0.005780346820809248,0.0,0.005780346820809248,0.23121387283236994,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.07692307692307693,0.6538461538461539,0.0,0.0,0.0,0.0,0.21978021978021978,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.07303370786516854,0.6685393258426966,0.0,0.0,0.0,0.0,0.20786516853932585,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.06976744186046512,0.6744186046511628,0.0,0.0,0.0,0.0,0.19767441860465115,0.0,0.005813953488372093,0.005813953488372093,0.0,0.0
0.0,0.0,0.0,0.047619047619047616,0.6845238095238095,0.0,0.0,0.0,0.0,0.18452380952380953,0.0,0.017857142857142856,0.023809523809523808,0.0,0.0
0.0,0.0,0.0,0.03592814371257485,0.6646706586826348,0.0,0.0,0.0,0.0,0.18562874251497005,0.0,0.017964071856287425,0.04790419161676647,0.0,0.0
0.0,0.0,0.0,0.037037037037037035,0.5987654320987654,0.0,0.0,0.0,0.0,0.21604938271604937,0.0,0.024691358024691357,0.08641975308641975,0.0,0.0
0.0,0.0,0.0,0.03773584905660377,0.5471698113207547,0.0,0.0,0.0,0.0,0.22641509433962265,0.0,0.025157232704402517,0.11949685534591195,0.0,0.0
0.0,0.0,0.0,0.029411764705882353,0.5411764705882353,0.0058823529411764705,0.0,0.0,0.0,0.2,0.0,0.03529411764705882,0.15294117647058825,0.0,0.0
0.0,0.0,0.0,0.024390243902439025,0.5182926829268293,0.012195121951219513,0.0,0.0,0.0,0.18292682926829268,0.0,0.04878048780487805,0.18292682926829268,0.0,0.0
0.0,0.0,0.0,0.015503875968992248,0.4573643410852713,0.015503875968992248,0.0,0.0,0.0,0.1937984496124031,0.0,0.06976744186046512,0.2248062015503876,0.0,0.0
0.0,0.0,0.0,0.009259259259259259,0.4351851851851852,0.0,0.0,0.0,0.0,0.19444444444444445,0.0,0.07407407407407407,0.25925925925925924,0.0,0.0
0.0,0.0,0.0,0.008695652173913044,0.5043478260869565,0.0,0.0,0.0,0.0,0.17391304347826086,0.0,0.05217391304347826,0.24347826086956523,0.0,0.0
0.0,0.0,0.0,0.008928571428571428,0.5267857142857143,0.0,0.0,0.0,0.0,0.16071428571428573,0.008928571428571428,0.026785714285714284,0.24107142857142858,0.0,0.0
0.0,0.0,0.0,0.0,0.46835443037974683,0.0,0.0,0.0,0.0,0.16455696202531644,0.0,0.012658227848101266,0.31645569620253167,0.0,0.0
0.0,0.0,0.0,0.0,0.36585365853658536,0.0,0.0,0.0,0.0,0.14634146341463414,0.0,0.024390243902439025,0.43902439024390244,0.0,0.0
0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.15,0.0,0.05,0.4,0.0,0.0
0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.25,0.0,0.0
0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0
0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0
0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0
0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
