20A.EU1,20A.EU2,20H.Beta.V2,20I.Alpha.V1,20J.Gamma.V3,21I.Delta,21J.Delta,DanishCluster
0.0,0.0,0.045454545454545456,0.22727272727272727,0.36363636363636365,0.0,0.0,0.0
0.0,0.0,0.0,0.19230769230769232,0.46153846153846156,0.0,0.0,0.0
0.0,0.0,0.0,0.2,0.52,0.0,0.0,0.0
0.0,0.0,0.0,0.15,0.6,0.0,0.0,0.0
0.0,0.0,0.0,0.13333333333333333,0.6666666666666666,0.0,0.0,0.0
0.0,0.0,0.0,0.21428571428571427,0.6428571428571429,0.0,0.0,0.0
0.0,0.0,0.0,0.17647058823529413,0.7058823529411765,0.0,0.0,0.0
0.0,0.0,0.0,0.09090909090909091,0.8636363636363636,0.0,0.0,0.0
0.0,0.0,0.0,0.04,0.92,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8421052631578947,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
0.0,0.0,0.0,0.05,0.8,0.0,0.0,0.0
0.0,0.0,0.0,0.045454545454545456,0.8181818181818182,0.0,0.09090909090909091,0.0
0.0,0.0,0.0,0.0,0.75,0.0,0.16666666666666666,0.0
0.0,0.0,0.0,0.0,0.6521739130434783,0.0,0.2608695652173913,0.0
0.0,0.0,0.0,0.0,0.43478260869565216,0.043478260869565216,0.4782608695652174,0.0
0.0,0.0,0.0,0.0,0.23076923076923078,0.038461538461538464,0.6923076923076923,0.0
0.0,0.0,0.0,0.0,0.10344827586206896,0.06896551724137931,0.7931034482758621,0.0
0.0,0.0,0.0,0.0,0.038461538461538464,0.07692307692307693,0.8461538461538461,0.0
0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.8947368421052632,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
